"adult","budget","cast","genres","id","keywords","original_title","overview","popularity","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","vote_average","vote_count"
"False","0","Hal Holbrook; Katharine Ross; Richard Anderson; Barry Bostwick; Bill Fiore; Phil Leeds; Eve McVeagh","Mystery; Crime; TV Movie; Horror","256166","gun; partner in crime","Murder by Natural Causes","Allison, the unfaithful wife of a famous mentalist with a heart problem, together with her lover tries to kill him by scaring him to death, but the whole thing goes downhill when it turns out that he knew about it all along.","1.040928","CBS Entertainment Productions","United States of America","1979-02-17","0.0","100.0","English","Released","","Murder by Natural Causes","0.0","0.0"
"False","0","Eric Roberts; Danielle Harris; Felissa Rose; Brian Gallagher; Ashley Sumner; Nicole Cinaglia; Joe Raffa; Montana Marks; Gnomi Gre; Kyle Patrick Brennan; Davy Raphaely; Angel Sanchez; Alexander Mandell","Thriller; Horror; Mystery","252189","blood; camp; slasher","Camp Dread","The “Summer Camp” horror trilogy was one of the most popular franchises of the 1980s. However, the decade ended and so did director Julian Barrett’s career. Now Barrett plans to resurrect his gory series via a modern reboot patterned after reality filmmaking. With his former leading lady and an eclectic group of 10 young “contestants,” Barrett returns to the same locale where his old splatter-fests were filmed. When one of the campers is found savagely murdered, they realize there’s more at stake than just fame and fortune. Each of them is in a fight for their lives as they realize summer is over – forever.","0.985039","Class of 85 LLC","United States of America","2014-04-15","0.0","90.0","English","Released","Pitch your tent, dig your grave.","Camp Dread","4.6","8.0"
"False","0","Bill Farmer; Jason Marsden; Pauly Shore; Rob Paulsen; Jeff Bennett; Brad Garrett; Vicki Lewis; Bebe Neuwirth; Jim Cummings","Animation; Family; Comedy","15653","skateboarding; father son relationship; college; sport; duringcreditsstinger; father son conflict","An Extremely Goofy Movie","It's all extreme sports and a life of freedom as Max sets off for college -- but Goofy misses Max so much he loses his job and goes to finish college alongside Max and his friends. But as Goofy tries to get closer to Max, both must go to the extreme to learn how to live their own lives together.","10.368424","Walt Disney Television Animation","Australia; United States of America","2000-02-29","0.0","79.0","English","Released","","An Extremely Goofy Movie","6.0","123.0"
"False","0","Broderick Crawford; Barbara Hale; Johnny Stewart; Lloyd Bridges; Mickey Shaughnessy; George Mathews; Hugh Sanders; Ric Roman; Chubby Johnson; Martin Milner; Milton Parsons; Jack Woody; John War Eagle; George Chesebro; Steve Forrest; Harry Harvey; Jay Silverheels; Carleton Young","Western; Action; Adventure","41468","desert; stagecoach","Last of the Comanches","It's 1876 and all the Indians are at peace except the Comanches lead by Black Cloud. When Black Cloud wipes out a town, only six soldiers are left and they head for the nearest fort. In the desert they are reinforced by members of a stagecoach and find some water at a deserted mission. Pinned down by Black Cloud they send an Indian boy who was Black Cloud's prisoner on to the fort while they try to bargain with Black Cloud whom they learn is without water.","1.058964","Columbia Pictures Corporation","United States of America","1953-02-01","0.0","85.0","English","Released","Ten men ... a woman ... and only a ghost of a chance !","Last of the Comanches","6.0","5.0"
"False","0","Myrna Loy; Robert Mitchum; Louis Calhern; Shepperd Strudwick; Peter Miles; Margaret Hamilton; Patty King; Jackie Jackson; Beau Bridges","Action; Drama; Western","23395","pony","The Red Pony","Peter Miles stars as Tom Tiflin, the little boy at the heart of this John Steinbeck story set in Salinas Valley. With his incompatible parents -- the city-loving Fred (Shepperd Strudwick) and country-happy Alice (Myrna Loy) -- constantly bickering, Tom looks to cowboy Billy Buck (Robert Mitchum) for companionship and paternal love.","0.843101","Republic Pictures","United States of America","1949-03-28","0.0","91.0","English","Released","","The Red Pony","5.0","7.0"
"False","0","Lori Alan; Carlos Alazraqui; Tim Allen; Bob Bergen; Blake Clark; Josh Cooley; Joan Cusack; John Cygan; Timothy Dalton; Emily Forbes; Emily Hahn; Tom Hanks; Jess Harnell; Estelle Harris; Kitt Hirasaki; Jane Lynch; Teddy Newton; John Ratzenberger; Don Rickles; Wallace Shawn","Animation; Family","82424","fast food restaurant; toys; fast food; toy story; pixar animation","Small Fry","A fast food restaurant mini variant of Buzz forcibly switches places with the real Buzz and his friends have to deal with the obnoxious impostor.","9.858179","Pixar Animation Studios","United States of America","2011-11-23","0.0","7.0","English","Released","","Small Fry","6.8","118.0"
"False","0","Audie Murphy; Mari Blanchard; Lyle Bettger; Lori Nelson; Thomas Mitchell; Edgar Buchanan; Wallace Ford; Mary Wickes; Alan Hale Jr.; Lee Aaker","Western","94176","frontier town","Destry","Western remake of """"Destry Rides Again"""", starring Audie Murphy, Mari Blanchard, Thomas Mitchell, Lori Nelson and Lyle Bettger.","0.647708","Universal International Pictures (UI)","United States of America","1954-12-01","0.0","95.0","English","Released","From the roaring , raucous, rowdy pages of the best-loved legend of the West!","Destry","4.7","10.0"
"False","0","Chris Cooper; Richard Dreyfuss; Thora Birch; Maria Bello; Miguel Ferrer","Comedy; Drama; Mystery; Thriller","18711","","Silver City","The discovery of a corpse threatens to unravel a bumbling local politician's campaign for governor of Colorado.","1.534733","","United States of America","2004-09-17","0.0","128.0","English","Released","","Silver City","6.3","13.0"
"False","0","Steve Martin; Dan Aykroyd; Phil Hartman; Glenne Headly; Daryl Mitchell; Chris Rock; Mitchell Whitfield; Eric Edwards; Austin Pendleton; Debra Jo Rupp; Max Casella; Richard Herd; Dan Ferro; Brian Leckner","Comedy; Family","9099","gulf war; u.s. army; based on tv series; military spoof","Sgt. Bilko","The army is known for churning out lean mean fighting machines intent on protecting our great nation. Martin is the inexplicable the incorrigible the invicible sgt. Ernie bilko leader of a ragtag group of the sorriest soldiers ever to enlist in the armed forces.","5.70904","Imagine Entertainment; Universal Pictures","United States of America","1996-03-29","0.0","90.0","English","Released","All he ever wanted was an honest week's pay for an honest day's work.","Sgt. Bilko","5.5","96.0"
"False","0","Bolek Polívka; Anna Šišková; Csongor Kassai; Jaroslav Dušek; Martin Huba; Jiří Pecha; Simona Stašová; Jiří Kodet; Richard Tesařík; Vladimir Marek","Comedy; Drama; Family; War","29937","","Musíme si pomáhat","In Nazi occupied Czechoslovakia, a childless couple agree to hide a Jewish friend at great personal risk of discovery and execution.","1.43661","Ceská Televize; Total HelpArt T.H.A.","Czech Republic","2000-03-16","0.0","120.0","Český; Deutsch","Released","","Divided We Fall","7.6","11.0"
